condition,n,tick_cap,route_policy,mean_brier,mean_log_score,mean_unresolved_mass,llm_calls_captured,total_tokens_captured,actual_openrouter_usd_captured,estimated_usd_captured,unknown_usd_calls,model_call_breakdown,wall_time_evidence,status,notes
direct_llm,24,n/a,openai-codex/gpt-5.4,0.242492,0.701698,0.000000,24,50433,,,,openai-codex/gpt-5.4,sum_latency_s=155.53,complete,Codex direct baseline did not expose billable USD; token and latency metadata captured.
structured_direct_llm,24,n/a,openai-codex/gpt-5.4,0.238363,0.677498,0.000000,24,55329,,,,openai-codex/gpt-5.4,sum_latency_s=241.13,complete,Codex direct baseline did not expose billable USD; token and latency metadata captured.
direct_llm_deepseek_v4_flash,24,n/a,openrouter/deepseek/deepseek-v4-flash,0.247371,0.709814,0.000000,24,,,,,openrouter/deepseek/deepseek-v4-flash,captured in raw/E2_direct_baselines_deepseek_v4_flash,complete,DeepSeek v4 Flash direct baseline scored from existing calls.
structured_direct_llm_deepseek_v4_flash,24,n/a,openrouter/deepseek/deepseek-v4-flash,0.260496,0.740592,0.000000,24,,,,,openrouter/deepseek/deepseek-v4-flash,captured in raw/E2_direct_baselines_deepseek_v4_flash,complete,DeepSeek v4 Flash structured direct baseline scored from existing calls.
direct_llm_core12,12,n/a,openai-codex/gpt-5.4,0.219867,0.673259,0.000000,12,,,,,openai-codex/gpt-5.4,same 12 IDs as E3 branching core-12,complete,Core-12 subset from direct baseline scores for same-card comparison.
structured_direct_llm_core12,12,n/a,openai-codex/gpt-5.4,0.215517,0.637058,0.000000,12,,,,,openai-codex/gpt-5.4,same 12 IDs as E3 branching core-12,complete,Core-12 subset from structured direct baseline scores for same-card comparison.
direct_llm_deepseek_v4_flash_core12,12,n/a,openrouter/deepseek/deepseek-v4-flash,0.211408,0.628736,0.000000,12,,,,,openrouter/deepseek/deepseek-v4-flash,same 12 IDs as E3 branching core-12,complete,Core-12 subset from DeepSeek direct baseline scores for same-card comparison.
structured_direct_llm_deepseek_v4_flash_core12,12,n/a,openrouter/deepseek/deepseek-v4-flash,0.194950,0.591768,0.000000,12,,,,,openrouter/deepseek/deepseek-v4-flash,same 12 IDs as E3 branching core-12,complete,Core-12 subset from DeepSeek structured direct baseline scores for same-card comparison.
worldfork_no_branch_16tick,24,16,icml_default_deepseek_v4_flash_cohort_hero,0.425347,1.686438,0.923611,4129,188195859,18.565104,18.565104,0,openai-codex/gpt-5.4:1148;openrouter/deepseek/deepseek-v4-flash:2981,max_job_wait_s=7533.43;sum_job_wait_s=98530.63,complete,OpenRouter USD reflects DeepSeek cohort/hero calls; Codex governance/report routes have token/call counts but no billable USD in artifacts.
worldfork_no_branch_35tick_resume,24,35,icml_default_deepseek_v4_flash_cohort_hero_resume35,0.425347,1.686438,0.923611,8843,411880901,41.559777,41.559777,0,openai-codex/gpt-5.4:2437;openrouter/deepseek/deepseek-v4-flash:6402;openrouter/gpt-5.4:4,23 resumed cost captures plus one carried-forward 16-tick resolved case; terminal-probe wall time captured in per-case artifacts,complete,Cumulative final-condition cost summary; includes source cost for the carried-forward row.
worldfork_single_path_proxy_core12_diagnostic,12,16,icml_default_deepseek_v4_flash_cohort_hero_deadline_aware_core12_most_probable_path_proxy,0.416667,1.924683,0.000000,8418,446820400,46.131718,46.131718,0,openai-codex/gpt-5.4:2050;openrouter/deepseek/deepseek-v4-flash:6368,selected highest path_probability multiverse per case; no new ticks,diagnostic only,Same-run diagnostic derived from E3 branching core-12 terminal ledgers.
worldfork_branching_core12_posthoc_fixed,12,16,icml_default_deepseek_v4_flash_cohort_hero_deadline_aware_core12_posthoc_fixed_binary,0.224597,0.613304,0.000000,8418,446820400,46.131718,46.131718,0,openai-codex/gpt-5.4:2050;openrouter/deepseek/deepseek-v4-flash:6368,run_window_s=13363.24;ledger_aggregation_no_new_ticks,complete,Core-12 branching aggregate reused existing branches and scored endpoint path mass; OpenRouter USD reflects DeepSeek cohort calls while Codex governance/report calls expose no billable USD.
worldfork_plus_structured_direct_llm_deepseek_v4_flash_equal_blend_core12,12,16,reused_E2_E3_artifacts,0.190560,0.553376,0.000000,0,0,0.000000,0.000000,0,reused_E2_E3_artifacts,no new calls or ticks,complete,50/50 blend of DeepSeek structured direct prior and E3 branching path-mass aggregate.
worldfork_plus_structured_direct_llm_deepseek_v4_flash_best_brier_in_sample_core12,12,16,reused_E2_E3_artifacts,0.187705,0.555867,0.000000,0,0,0.000000,0.000000,0,reused_E2_E3_artifacts,no new calls or ticks,diagnostic only,Alpha=0.70 tuned on the same 12 cases by Brier.
worldfork_plus_structured_direct_llm_deepseek_v4_flash_leave_one_out_brier_tuned_core12,12,16,reused_E2_E3_artifacts,0.232795,0.672304,0.000000,0,0,0.000000,0.000000,0,reused_E2_E3_artifacts,no new calls or ticks,diagnostic only,Leave-one-out alpha-tuning estimate from existing core-12 cases.
worldfork_branching_short_smoke,1,8,legacy_codex_smoke,1.000000,4.605170,1.000000,322,13126237,0.000000,0.000000,0,openai-codex/gpt-5.4:322,one case; init_wait_s=120.12; run_wait_s=2131.68,smoke only; pending default-route core/full branching,Codex-only smoke validates branching plumbing but is not aggregated with default-route rows.
